food,merge
"Beverages, Malted drink mix, chocolate, powder, prepared with whole milk",
"Beverages, Malted drink mix, chocolate, with added nutrients, powder, prepared with whole milk",
"Beverages, Malted drink mix, natural, powder, dairy based.",
"Beverages, Malted drink mix, natural, powder, prepared with whole milk",
"Beverages, Malted drink mix, natural, with added nutrients, powder, prepared with whole milk",
"Beverages, Meal supplement drink, canned, peanut flavor",
"Beverages, Mixed vegetable and fruit juice drink, with added nutrients",
"Beverages, Orange drink, breakfast type, with juice and pulp, frozen concentrate",
"Beverages, Orange drink, breakfast type, with juice and pulp, frozen concentrate, prepared with water",
"Beverages, Orange juice drink",
"Beverages, Orange juice, light, No pulp",
"Beverages, Orange-flavor drink, breakfast type, low calorie, powder",
"Beverages, Orange-flavor drink, breakfast type, with pulp, frozen concentrate, prepared with water",
"Beverages, Orange-flavor drink, breakfast type, with pulp, frozen concentrate.",
"Beverages, Powerade Zero Ion4, calorie-free, assorted flavors",
"Beverages, Propel Zero, fruit-flavored, non-carbonated",
"Beverages, Protein powder soy based",
"Beverages, Protein powder whey based",
"Beverages, Strawberry-flavor beverage mix, powder, prepared with whole milk",
"Beverages, Tropical Punch, ready-to-drink",
"Beverages, Vegetable and fruit juice drink, reduced calorie, with low-calorie sweetener, added vitamin C",
"Beverages, Water with added vitamins and minerals, bottles, sweetened, assorted fruit flavors",
"Beverages, Whey protein powder isolate",
"Beverages, Whiskey sour mix, bottled",
"Beverages, Whiskey sour mix, powder",
"Beverages, Wine, non-alcoholic",
"Beverages, almond milk, chocolate, ready-to-drink",
"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink",
"Beverages, almond milk, unsweetened, shelf stable",
"Beverages, aloe vera juice drink, fortified with Vitamin C",
"Beverages, carbonated, club soda",
"Beverages, carbonated, cola, fast-food cola",
"Beverages, carbonated, cola, regular",
"Beverages, carbonated, cola, without caffeine",
"Beverages, carbonated, ginger ale",
"Beverages, carbonated, grape soda",
"Beverages, carbonated, lemon-lime soda, no caffeine",
"Beverages, carbonated, limeade, high caffeine",
"Beverages, carbonated, low calorie, cola or pepper-type, with aspartame, contains caffeine",
"Beverages, carbonated, low calorie, cola or pepper-type, with aspartame, without caffeine",
"Beverages, carbonated, low calorie, cola or pepper-types, with sodium saccharin, contains caffeine",
"Beverages, carbonated, low calorie, other than cola or pepper,  without caffeine",
"Beverages, carbonated, low calorie, other than cola or pepper, with aspartame, contains caffeine",
"Beverages, carbonated, orange",
"Beverages, carbonated, pepper-type, contains caffeine",
"Beverages, carbonated, reduced sugar, cola, contains caffeine and sweeteners",
"Beverages, carbonated, root beer",
"Beverages, carbonated, tonic water",
"Beverages, chocolate almond milk, unsweetened, shelf-stable, fortified with vitamin D2 and E",
"Beverages, chocolate drink, milk and soy based, ready to drink, fortified",
"Beverages, chocolate malt powder, prepared with 1% milk, fortified",
"Beverages, chocolate malt, powder, prepared with fat free milk",
"Beverages, chocolate powder, no sugar added",
"Beverages, chocolate syrup",
"Beverages, chocolate syrup, prepared with whole milk",
"Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients",
"Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients, prepared with whole milk",
"Beverages, chocolate-flavor beverage mix, powder, prepared with whole milk",
"Beverages, citrus fruit juice drink, frozen concentrate",
"Beverages, citrus fruit juice drink, frozen concentrate, prepared with water",
"Beverages, cocoa mix, with aspartame, powder, prepared with water",
"Beverages, coconut milk, sweetened, fortified with calcium, vitamins A, B12, D2",
"Beverages, coffee and cocoa, instant, decaffeinated, with whitener and low calorie sweetener",
"Beverages, coffee substitute, cereal grain beverage, powder",
"Beverages, coffee substitute, cereal grain beverage, powder, prepared with whole milk",
"Beverages, coffee substitute, cereal grain beverage, prepared with water",
"Beverages, coffee, brewed, breakfast blend",
"Beverages, coffee, brewed, espresso, restaurant-prepared",
"Beverages, coffee, brewed, espresso, restaurant-prepared, decaffeinated",
"Beverages, coffee, brewed, prepared with tap water",
"Beverages, coffee, brewed, prepared with tap water, decaffeinated",
"Beverages, coffee, instant, chicory",
"Beverages, coffee, instant, decaffeinated, powder",
"Beverages, coffee, instant, decaffeinated, prepared with water",
"Beverages, coffee, instant, mocha, sweetened",
"Beverages, coffee, instant, regular, half the caffeine",
"Beverages, coffee, instant, regular, powder",
"Beverages, coffee, instant, regular, prepared with water",
"Beverages, coffee, instant, vanilla, sweetened, decaffeinated, with non dairy creamer",
"Beverages, coffee, instant, with chicory",
"Beverages, coffee, instant, with whitener, reduced calorie",
"Beverages, coffee, ready to drink, iced, mocha, milk based",
"Beverages, coffee, ready to drink, milk based, sweetened",
"Beverages, coffee, ready to drink, vanilla, light, milk based, sweetened",
"Beverages, cranberry-apple juice drink, bottled",
"Beverages, cranberry-apple juice drink, low calorie, with vitamin C added",
"Beverages, cranberry-apricot juice drink, bottled",
"Beverages, cranberry-grape juice drink, bottled",
"Beverages, dairy drink mix, chocolate, reduced calorie, with aspartame, powder, prepared with water and ice",
"Beverages, fruit juice drink, greater than 3% fruit juice, high vitamin C and added thiamin",
"Beverages, fruit juice drink, greater than 3% juice, high vitamin C",
"Beverages, fruit juice drink, reduced sugar, with vitamin E added",
"Beverages, fruit punch drink, without added nutrients, canned",
"Beverages, fruit punch juice drink, frozen concentrate",
"Beverages, fruit punch juice drink, frozen concentrate, prepared with water",
"Beverages, fruit punch-flavor drink, powder, without added sodium, prepared with water",
"Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame",
"Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie",
"Beverages, grape drink, canned",
"Beverages, grape juice drink, canned",
"Beverages, lemonade, frozen concentrate, pink, prepared with water",
"Beverages, lemonade-flavor drink, powder",
"Beverages, lemonade-flavor drink, powder, prepared with water",
"Beverages, malted drink mix, chocolate, powder",
"Beverages, milk beverage, reduced fat, flavored and sweetened, Ready-to-drink,  added calcium, vitamin A and vitamin D",
"Beverages, nutritional shake mix, high protein, powder",
"Beverages, orange and apricot juice drink, canned",
"Beverages, orange breakfast drink, ready-to-drink, with added nutrients",
"Beverages, orange drink, canned, with added vitamin C",
"Beverages, orange-flavor drink, breakfast type, powder",
"Beverages, orange-flavor drink, breakfast type, powder, prepared with water",
"Beverages, pineapple and grapefruit juice drink, canned",
"Beverages, pineapple and orange juice drink, canned",
"Beverages, rice milk, unsweetened",
"Beverages, rich chocolate, powder",
"Beverages, shake, fast food, strawberry",
"Beverages, tea, Oolong, brewed",
"Beverages, tea, black, brewed, prepared with distilled water",
"Beverages, tea, black, brewed, prepared with tap water",
"Beverages, tea, black, brewed, prepared with tap water, decaffeinated",
"Beverages, tea, black, ready to drink",
"Beverages, tea, black, ready to drink, decaffeinated",
"Beverages, tea, black, ready to drink, decaffeinated, diet",
"Beverages, tea, black, ready-to-drink, lemon, diet",
"Beverages, tea, black, ready-to-drink, lemon, sweetened",
"Beverages, tea, black, ready-to-drink, peach, diet",
"Beverages, tea, green, brewed, decaffeinated",
"Beverages, tea, green, brewed, regular",
"Beverages, tea, green, instant, decaffeinated, lemon, unsweetened, fortified with vitamin C",
"Beverages, tea, green, ready to drink, ginseng and honey, sweetened",
"Beverages, tea, green, ready to drink, unsweetened",
"Beverages, tea, green, ready-to-drink, citrus, diet, fortified with vitamin C",
"Beverages, tea, green, ready-to-drink, diet",
"Beverages, tea, green, ready-to-drink, sweetened",
"Beverages, tea, herb, brewed, chamomile",
"Beverages, tea, herb, other than chamomile, brewed",
"Beverages, tea, hibiscus, brewed",
"Beverages, tea, instant, decaffeinated, lemon, diet",
"Beverages, tea, instant, decaffeinated, lemon, sweetened",
"Beverages, tea, instant, decaffeinated, unsweetened",
"Beverages, tea, instant, lemon, diet",
"Beverages, tea, instant, lemon, sweetened, powder",
"Beverages, tea, instant, lemon, sweetened, prepared with water",
"Beverages, tea, instant, lemon, unsweetened",
"Beverages, tea, instant, lemon, with added ascorbic acid",
"Beverages, tea, instant, sweetened with sodium saccharin, lemon-flavored, powder",
"Beverages, tea, instant, unsweetened, powder",
"Beverages, tea, instant, unsweetened, prepared with water",
"Beverages, tea, ready-to-drink, lemon, diet",
"Beverages, vegetable and fruit juice blend, 100% juice, with added vitamins A, C, E",
"Beverages, water, bottled, yumberry, pomegranate with anti-oxidants, zero calories",
"Beverages, water, tap, drinking",
"Beverages, water, tap, municipal",
"Beverages, water, tap, well",
"Beverages, yellow green colored citrus soft drink with caffeine",
"Blackberries, canned, heavy syrup, solids and liquids",
"Blackberries, frozen, unsweetened",
"Blackberries, raw",
"Blackberries, wild, raw (Alaska Native)",
"Blackberry juice, canned",
"Blackeye pea, canned, sodium added, drained and rinsed",
"Blackeye pea, dry",
"Blueberries, canned, heavy syrup, solids and liquids",
"Blueberries, canned, light syrup, drained",
"Blueberries, dried, sweetened",
"Blueberries, fresh, raw",
"Blueberries, frozen, sweetened",
"Blueberries, raw",
"Blueberries, wild, canned, heavy syrup, drained",
"Blueberries, wild, frozen (Alaska Native)",
"Blueberries, wild, raw (Alaska Native)",
"Bok choy, regular (not baby), raw",
"Borage, cooked, boiled, drained",
"Borage, raw",
"Boysenberries, canned, heavy syrup",
"Boysenberries, frozen, unsweetened",
"Brazil nuts, raw",
"Bread, blue corn, somiviki (Hopi)",
"Bread, kneel down (Navajo)",
"Breadfruit, raw",
"Breakfast bar, corn flake crust with fruit",
"Breakfast bars, oats, sugar, raisins, coconut (include granola bar)",
"Broadbeans (fava beans), mature seeds, canned",
"Broadbeans (fava beans), mature seeds, cooked, boiled",
"Broadbeans (fava beans), mature seeds, raw",
"Broadbeans, immature seeds, cooked, boiled, drained",
"Broadbeans, immature seeds, raw",
"Broccoli raab, cooked",
"Broccoli raab, raw",
"Broccoli, chinese, cooked",
"Broccoli, chinese, raw",
"Broccoli, cooked, boiled, drained",
"Broccoli, flower clusters, raw",
"Broccoli, frozen, chopped, cooked, boiled, drained",
"Broccoli, frozen, chopped, unprepared",
"Broccoli, frozen, spears, cooked, boiled, drained",
"Broccoli, leaves, raw",
"Broccoli, raw",
"Broccoli, stalks, raw",
"Brown rice, long grain, unenriched",
"Brussels sprouts, cooked, boiled, drained",
"Brussels sprouts, frozen, cooked, boiled, drained",
"Brussels sprouts, frozen, unprepared",
"Brussels sprouts, raw",
Buckwheat,
"Buckwheat flour, whole-groat",
"Buckwheat groats, roasted, cooked",
"Buckwheat groats, roasted, dry",
"Buckwheat, flour",
"Buckwheat, whole grain",
"Bulgur, cooked",
"Bulgur, dry",
"Bulgur, dry, raw",
"Burdock root, cooked, boiled, drained",
"Burdock root, raw",
"Burrito, bean and cheese, frozen",
"Butter oil, anhydrous",
"Butter replacement, without fat, powder",
"Butter, Clarified butter (ghee)",
"Butter, light, stick",
"Butter, salted",
"Butter, stick, salted",
"Butter, stick, unsalted",
"Butter, whipped, with salt",
"Butter, without salt",
"Butterbur, (fuki), raw",
"Butterbur, canned",
"Butterbur, cooked, boiled, drained",
"Buttermilk, low fat",
"Buttermilk, lowfat",
"Cabbage, bok choy, raw",
"Cabbage, chinese (pak-choi), cooked, boiled, drained",
"Cabbage, chinese (pak-choi), raw",
"Cabbage, chinese (pe-tsai), cooked, boiled, drained",
"Cabbage, chinese (pe-tsai), raw",
"Cabbage, common (danish, domestic, and pointed types), freshly harvest, raw",
"Cabbage, common (danish, domestic, and pointed types), stored, raw",
"Cabbage, common, cooked, boiled, drained, with salt",
"Cabbage, cooked, boiled, drained, without salt",
"Cabbage, green, raw",
"Cabbage, japanese style, fresh, pickled",
"Cabbage, kimchi",
"Cabbage, mustard, salted",
"Cabbage, napa, cooked",
"Cabbage, napa, leaf, destemmed, raw",
"Cabbage, raw",
"Cabbage, red, cooked, boiled, drained",
"Cabbage, red, raw",
"Cabbage, savoy, cooked, boiled, drained",
"Cabbage, savoy, raw",
Candied fruit,
Canola Oil,
"Capers, canned",
"Carambola, (starfruit), raw",
"Carbonated beverage, chocolate-flavored soda",
"Carbonated beverage, cream soda",
"Carbonated beverage, low calorie, other than cola or pepper, with sodium saccharin, without caffeine",
"Cardoon, cooked, boiled, drained",
"Cardoon, raw",
"Caribou, bone marrow, raw (Alaska Native)",
"Caribou, eye, raw (Alaska Native)",
"Caribou, tongue, raw (Alaska Native)",
"Carissa, (natal-plum), raw",
Carob flour,
"Carrot juice, canned",
"Carrot, dehydrated",
"Carrots, baby, raw",
"Carrots, baby, raw, peeled",
"Carrots, canned, no salt added, drained solids",
"Carrots, canned, no salt added, solids and liquids",
"Carrots, canned, regular pack, drained solids",
"Carrots, canned, regular pack, solids and liquids",
"Carrots, cooked, boiled, drained",
"Carrots, frozen, cooked, boiled, drained",
"Carrots, frozen, unprepared",
"Carrots, mature, raw",
"Carrots, raw",
"Cashews, raw",
Cassava flour,
"Cassava, raw",
Catsup,
"Catsup, low sodium",
"Cattail, Narrow Leaf Shoots (Northern Plains Indians)",
"Cauliflower, cooked, boiled, drained",
"Cauliflower, frozen, cooked, boiled, drained",
"Cauliflower, frozen, unprepared",
"Cauliflower, green, cooked",
"Cauliflower, green, raw",
"Cauliflower, raw",
"Celeriac, cooked, boiled, drained",
"Celeriac, raw",
"Celery, cooked, boiled, drained",
"Celery, raw",
"Celtuce, raw",
"Cereals ready-to-eat, Post, Waffle Crisp",
"Cereals ready-to-eat, chocolate-flavored frosted puffed corn",
"Cereals ready-to-eat, frosted oat cereal with marshmallows",
"Cereals ready-to-eat, granola, homemade",
"Cereals ready-to-eat, rice, puffed, fortified",
"Cereals ready-to-eat, wheat and bran, presweetened with nuts and fruits",
"Cereals ready-to-eat, wheat germ, toasted, plain",
"Cereals ready-to-eat, wheat, puffed, fortified",
"Cereals, corn grits, white, regular and quick, enriched, cooked with water",
"Cereals, corn grits, white, regular and quick, enriched, dry",
"Cereals, corn grits, yellow, regular and quick, enriched, cooked with water, without salt",
"Cereals, corn grits, yellow, regular and quick, unenriched, dry",
"Cereals, corn grits, yellow, regular, quick, enriched, cooked with water, with salt",
"Cereals, farina, enriched, cooked with water, with salt",
"Cereals, farina, unenriched, dry",
"Cereals, oats, instant, fortified, maple and brown sugar, dry",
"Cereals, oats, instant, fortified, plain, dry",
"Cereals, oats, instant, fortified, plain, prepared with water (boiling water added or microwaved)",
"Cereals, oats, instant, fortified, with cinnamon and spice, dry",
"Cereals, oats, instant, fortified, with cinnamon and spice, prepared with water",
"Cereals, oats, instant, fortified, with raisins and spice, prepared with water",
"Cereals, oats, regular and quick and instant, unenriched, cooked with water (includes boiling and microwaving), with salt",
"Cereals, oats, regular and quick, not fortified, dry",
"Cereals, oats, regular and quick, unenriched, cooked with water (includes boiling and microwaving), without salt",
"Cereals, whole wheat hot natural cereal, cooked with water",
"Cereals, whole wheat hot natural cereal, dry",
"Chard, swiss, cooked, boiled, drained",
"Chard, swiss, raw",
"Chayote, fruit, cooked, boiled, drained",
"Chayote, fruit, raw",
Cheese,
"Cheese food, cold pack, American",
"Cheese food, pasteurized process, American, vitamin D fortified",
"Cheese food, pasteurized process, American, without added vitamin D",
"Cheese food, pasteurized process, swiss",
"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D",
"Cheese product, pasteurized process, American, vitamin D fortified",
"Cheese puffs and twists, corn based, baked, low fat",
"Cheese sauce, prepared from recipe",
"Cheese spread, American or Cheddar cheese base, reduced fat",
"Cheese spread, cream cheese base",
"Cheese spread, pasteurized process, American",
"Cheese substitute, mozzarella",
"Cheese, American",
"Cheese, American, nonfat or fat free",
"Cheese, American, restaurant",
"Cheese, Mexican blend",
"Cheese, Mexican, blend, reduced fat",
"Cheese, Swiss, nonfat or fat free",
"Cheese, american cheddar, imitation",
"Cheese, blue",
"Cheese, brick",
"Cheese, brie",
"Cheese, camembert",
"Cheese, caraway",
"Cheese, cheddar",
"Cheese, cheddar, nonfat or fat free",
"Cheese, cheddar, sharp, sliced",
"Cheese, cheshire",
"Cheese, colby",
"Cheese, cotija, solid",
"Cheese, cottage, creamed, large or small curd",
"Cheese, cottage, creamed, with fruit",
"Cheese, cottage, lowfat, 1% milkfat",
"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",
"Cheese, cottage, lowfat, 1% milkfat, no sodium added",
"Cheese, cottage, lowfat, 1% milkfat, with vegetables",
"Cheese, cottage, lowfat, 2% milkfat",
"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",
"Cheese, cottage, with vegetables",
"Cheese, cream",
"Cheese, cream, fat free",
"Cheese, cream, low fat",
"Cheese, dry white, queso seco",
"Cheese, edam",
"Cheese, feta",
"Cheese, feta, whole milk, crumbled",
"Cheese, fontina",
"Cheese, fresh, queso fresco",
"Cheese, gjetost",
"Cheese, goat, hard type",
"Cheese, goat, semisoft type",
"Cheese, goat, soft type",
"Cheese, gouda",
"Cheese, gruyere",
"Cheese, limburger",
"Cheese, low fat, cheddar or colby",
"Cheese, low-sodium, cheddar or colby",
"Cheese, mexican, queso anejo",
"Cheese, mexican, queso asadero",
"Cheese, mexican, queso chihuahua",
"Cheese, mexican, queso cotija",
"Cheese, monterey",
"Cheese, monterey jack, solid",
"Cheese, monterey, low fat",
"Cheese, mozzarella, low moisture, part-skim",
"Cheese, mozzarella, low moisture, part-skim, shredded",
"Cheese, mozzarella, low sodium",
"Cheese, mozzarella, nonfat",
"Cheese, mozzarella, part skim milk",
"Cheese, mozzarella, whole milk",
"Cheese, mozzarella, whole milk, low moisture",
"Cheese, muenster",
"Cheese, muenster, low fat",
"Cheese, neufchatel",
"Cheese, oaxaca, solid",
"Cheese, parmesan, dry grated, reduced fat",
"Cheese, parmesan, grated",
"Cheese, parmesan, grated, refrigerated",
"Cheese, parmesan, hard",
"Cheese, parmesan, low sodium",
"Cheese, parmesan, shredded",
"Cheese, pasteurized process cheese food or product, American, singles",
"Cheese, pasteurized process, American, fortified with vitamin D",
"Cheese, pasteurized process, American, low fat",
"Cheese, pasteurized process, American, vitamin D fortified",
"Cheese, pasteurized process, American, without added vitamin D",
"Cheese, pasteurized process, cheddar or American, low sodium",
"Cheese, pasteurized process, pimento",
"Cheese, pasteurized process, swiss",
"Cheese, port de salut",
"Cheese, provolone",
"Cheese, provolone, reduced fat",
"Cheese, provolone, sliced",
"Cheese, queso fresco, solid",
"Cheese, ricotta, part skim milk",
"Cheese, ricotta, whole milk",
